"","answer.keys","n","size","trials_3.thisRepN","participant"
"468","down",2,1,1,"RAA"
"469","down",4,4,1,"RAA"
"470","down",4,5,1,"RAA"
"471","down",1,2,1,"RAA"
"472","down",3,5,1,"RAA"
"473","left",6,4,1,"RAA"
"474","left",1,3,1,"RAA"
"475","down",2,3,1,"RAA"
"476","left",2,5,1,"RAA"
"477","left",6,2,1,"RAA"
"478","left",2,2,1,"RAA"
"479","down",1,1,1,"RAA"
"480","down",3,1,1,"RAA"
"481","right",5,5,1,"KAA"
"482","down",3,2,1,"KAA"
"483","down",1,1,1,"KAA"
"484","right",4,4,1,"KAA"
"485","left",6,1,1,"KAA"
"486","left",4,2,1,"KAA"
"487","down",2,2,1,"KAA"
"488","down",2,1,1,"KAA"
"489","down",3,5,1,"KAA"
"490","down",2,3,1,"KAA"
"491","left",6,4,1,"KAA"
"492","down",2,4,1,"KAA"
"493","down",6,2,1,"KAA"
"494","down",3,4,1,"KAA"
"495","left",4,1,1,"KAA"
"496","left",6,5,1,"KAA"
"497","down",1,4,1,"KAA"
"498","left",3,3,1,"KAA"
"499","down",3,1,1,"KAA"
"500","left",6,3,1,"KAA"
"501","left",5,1,1,"KAA"
"502","down",1,3,1,"KAA"
"503","down",2,5,1,"KAA"
"504","down",5,2,1,"KAA"
"505","down",5,3,1,"KAA"
"506","left",5,4,1,"KAA"
"507","left",4,3,1,"KAA"
"508","down",4,5,1,"KAA"
"509","down",1,2,1,"KAA"
"510","down",1,5,1,"KAA"
"511","right",1,2,1,"NV"
"512","down",6,3,1,"NV"
"513","down",2,3,1,"NV"
"514","down",2,1,1,"NV"
"515","down",6,4,1,"NV"
"516","right",5,2,1,"NV"
"517","down",1,5,1,"NV"
"518","down",6,1,1,"NV"
"519","down",4,1,1,"NV"
"520","down",5,5,1,"NV"
"521","down",2,5,1,"NV"
"522","down",3,5,1,"NV"
"523","down",5,1,1,"NV"
"524","left",5,4,1,"NV"
"525","down",4,3,1,"NV"
"526","right",3,2,1,"NV"
"527","down",3,1,1,"NV"
"528","right",4,2,1,"NV"
"529","right",6,2,1,"NV"
"530","down",3,4,1,"NV"
"531","down",4,5,1,"NV"
"532","right",1,3,1,"NV"
"533","down",4,4,1,"NV"
"534","down",2,4,1,"NV"
"535","down",2,2,1,"NV"
"536","down",6,5,1,"NV"
"537","down",5,3,1,"NV"
"538","right",1,1,1,"NV"
"539","down",1,4,1,"NV"
"540","down",3,3,1,"NV"
"541","down",1,2,1,"GMV"
"542","right",2,3,1,"GMV"
"543","down",4,1,1,"GMV"
"544","right",6,1,1,"GMV"
"545","left",4,5,1,"GMV"
"546","down",6,2,1,"GMV"
"547","down",6,4,1,"GMV"
"548","down",3,4,1,"GMV"
"549","right",3,2,1,"GMV"
"550","left",1,1,1,"GMV"
"551","right",3,1,1,"GMV"
"552","down",5,5,1,"GMV"
"553","down",1,4,1,"GMV"
"554","down",3,5,1,"GMV"
"555","right",4,3,1,"GMV"
"556","down",2,1,1,"GMV"
"557","down",4,2,1,"GMV"
"558","left",5,4,1,"GMV"
"559","down",1,5,1,"GMV"
"560","right",6,3,1,"GMV"
"561","down",4,4,1,"GMV"
"562","down",6,5,1,"GMV"
"563","right",2,2,1,"GMV"
"564","right",1,3,1,"GMV"
"565","down",3,3,1,"GMV"
"566","down",5,1,1,"GMV"
"567","down",2,5,1,"GMV"
"568","right",5,2,1,"GMV"
"569","down",2,4,1,"GMV"
"570","left",5,3,1,"GMV"
"571","down",6,4,1,"AG"
"572","down",3,4,1,"AG"
"573","right",2,2,1,"AG"
"574","down",2,3,1,"AG"
"575","down",4,1,1,"AG"
"576","down",4,4,1,"AG"
"577","down",5,2,1,"AG"
"578","down",1,5,1,"AG"
"579","down",1,3,1,"AG"
"580","down",5,3,1,"AG"
"581","down",3,2,1,"AG"
"582","down",3,5,1,"AG"
"583","down",6,1,1,"AG"
"584","down",2,1,1,"AG"
"585","down",5,4,1,"AG"
"586","left",1,2,1,"AG"
"587","down",6,5,1,"AG"
"588","down",3,3,1,"AG"
"589","down",4,5,1,"AG"
"590","down",2,5,1,"AG"
"591","down",2,4,1,"AG"
"592","down",4,3,1,"AG"
"593","down",5,1,1,"AG"
"594","down",6,2,1,"AG"
"595","down",1,4,1,"AG"
"596","down",3,1,1,"AG"
"597","down",4,2,1,"AG"
"598","down",5,5,1,"AG"
"599","down",1,1,1,"AG"
"600","down",6,3,1,"AG"
"601","left",6,5,1,"AA"
"602","down",3,2,1,"AA"
"603","down",4,2,1,"AA"
"604","down",4,5,1,"AA"
"605","down",1,2,1,"AA"
"606","left",5,5,1,"AA"
"607","left",2,3,1,"AA"
"608","down",4,3,1,"AA"
"609","left",6,1,1,"AA"
"610","down",6,3,1,"AA"
"611","left",5,4,1,"AA"
"612","left",1,3,1,"AA"
"613","down",5,1,1,"AA"
"614","down",1,1,1,"AA"
"615","down",2,5,1,"AA"
"616","down",3,5,1,"AA"
"617","down",2,1,1,"AA"
"618","down",2,2,1,"AA"
"619","down",4,1,1,"AA"
"620","left",2,4,1,"AA"
"621","down",1,4,1,"AA"
"622","left",3,4,1,"AA"
"623","down",6,2,1,"AA"
"624","down",3,3,1,"AA"
"625","down",4,4,1,"AA"
"626","down",5,3,1,"AA"
"627","left",6,4,1,"AA"
"628","right",5,2,1,"AA"
"629","down",1,5,1,"AA"
"630","right",3,1,1,"AA"
"631","right",4,3,1,"VS"
"632","down",1,5,1,"VS"
"633","down",1,1,1,"VS"
"634","left",4,4,1,"VS"
"635","left",4,1,1,"VS"
"636","left",4,2,1,"VS"
"637","left",3,4,1,"VS"
"638","left",5,4,1,"VS"
"639","left",3,5,1,"VS"
"640","left",2,5,1,"VS"
"641","down",6,5,1,"VS"
"642","down",6,4,1,"VS"
"643","down",4,5,1,"VS"
"644","left",1,4,1,"VS"
"645","left",6,3,1,"VS"
"646","left",5,1,1,"VS"
"647","left",1,3,1,"VS"
