"","answer.keys","n","size","trials_3.thisRepN","participant"
"295","down",5,5,1,"PZV"
"296","down",1,2,1,"PZV"
"297","down",3,3,1,"PZV"
"298","down",2,1,1,"PZV"
"299","down",1,4,1,"PZV"
"300","down",2,3,1,"PZV"
"301","down",1,1,1,"PZV"
"302","down",2,4,1,"PZV"
"303","down",1,5,1,"PZV"
"304","down",5,2,1,"PZV"
"305","down",4,2,1,"PZV"
"306","down",2,5,1,"PZV"
"307","down",6,4,1,"PZV"
"308","down",5,1,1,"PZV"
"309","left",3,4,1,"PZV"
"310","left",5,3,1,"PZV"
"311","down",3,5,1,"PZV"
"312","down",3,2,1,"PZV"
"313","left",6,1,1,"PZV"
"314","down",6,3,1,"PZV"
"315","down",5,4,1,"PZV"
"316","down",6,5,1,"PZV"
"317","down",2,2,1,"PZV"
"318","left",6,2,1,"PZV"
"319","down",1,3,1,"PZV"
"320","down",4,4,1,"PZV"
"321","down",3,1,1,"PZV"
"322","left",4,5,1,"PZV"
"323","left",4,1,1,"PZV"
"324","right",6,2,1,"TPS"
"325","down",2,2,1,"TPS"
"326","right",6,1,1,"TPS"
"327","down",6,4,1,"TPS"
"328","down",1,2,1,"TPS"
"329","down",2,4,1,"TPS"
"330","down",5,5,1,"TPS"
"331","left",4,3,1,"TPS"
"332","left",5,3,1,"TPS"
"333","left",3,3,1,"TPS"
"334","left",4,4,1,"TPS"
"335","left",4,5,1,"TPS"
"336","down",2,1,1,"TPS"
"337","down",1,3,1,"TPS"
"338","down",3,5,1,"TPS"
"339","down",1,1,1,"TPS"
"340","down",6,3,1,"TPS"
"341","down",5,1,1,"TPS"
"342","left",6,5,1,"TPS"
"343","down",4,1,1,"TPS"
"344","left",2,3,1,"TPS"
"345","down",3,2,1,"TPS"
"346","down",1,5,1,"TPS"
"347","down",3,1,1,"TPS"
"348","down",5,2,1,"TPS"
"349","left",2,5,1,"TPS"
"350","down",1,4,1,"TPS"
"351","down",4,2,1,"TPS"
"352","down",3,4,1,"TPS"
"353","down",5,4,1,"TPS"
"354","down",2,2,1,"VR"
"355","down",1,1,1,"VR"
"356","down",1,5,1,"VR"
"357","down",3,2,1,"VR"
"358","down",3,1,1,"VR"
"359","right",5,3,1,"VR"
"360","left",6,3,1,"VR"
"361","left",5,2,1,"VR"
"362","left",6,1,1,"VR"
"363","down",3,3,1,"VR"
"364","left",4,1,1,"VR"
"365","down",5,1,1,"VR"
"366","down",3,4,1,"VR"
"367","down",2,4,1,"VR"
"368","down",1,2,1,"VR"
"369","left",2,3,1,"VR"
"370","left",4,5,1,"VR"
"371","left",6,2,1,"VR"
"372","down",2,1,1,"VR"
"373","down",1,3,1,"VR"
"374","down",6,5,1,"VR"
"375","down",5,5,1,"VR"
"376","down",4,2,1,"VR"
"377","right",4,4,1,"VR"
"378","down",3,5,1,"VR"
"379","down",2,5,1,"VR"
"380","down",6,4,1,"VR"
"381","down",1,4,1,"VR"
"382","down",4,3,1,"VR"
"383","left",5,4,1,"VR"
"384","down",3,4,1,"SHUKs"
"385","down",6,1,1,"SHUKs"
"386","down",1,1,1,"SHUKs"
"387","down",4,2,1,"SHUKs"
"388","right",5,1,1,"SHUKs"
"389","down",4,1,1,"SHUKs"
"390","down",2,5,1,"SHUKs"
"391","down",6,3,1,"SHUKs"
"392","down",6,5,1,"SHUKs"
"393","down",1,4,1,"SHUKs"
"394","down",6,4,1,"SHUKs"
"395","down",2,2,1,"SHUKs"
"396","down",2,4,1,"SHUKs"
"397","down",1,5,1,"SHUKs"
"398","down",6,2,1,"SHUKs"
"399","down",3,1,1,"SHUKs"
"400","down",3,5,1,"SHUKs"
"401","down",3,3,1,"SHUKs"
"402","down",2,3,1,"SHUKs"
"403","down",1,3,1,"SHUKs"
"404","down",4,4,1,"SHUKs"
"405","down",2,1,1,"SHUKs"
"406","down",4,3,1,"SHUKs"
"407","down",4,5,1,"SHUKs"
"408","down",5,5,1,"SHUKs"
"409","down",3,2,1,"SHUKs"
"410","down",5,2,1,"SHUKs"
"411","down",5,4,1,"SHUKs"
"412","down",1,2,1,"SHUKs"
"413","down",5,3,1,"SHUKs"
"414","down",2,3,1,"SND"
"415","down",4,1,1,"SND"
"416","down",6,3,1,"SND"
"417","right",6,1,1,"SND"
"418","down",3,3,1,"SND"
"419","right",1,2,1,"SND"
"420","down",5,3,1,"SND"
"421","down",4,4,1,"SND"
"422","left",3,5,1,"SND"
"423","left",5,5,1,"SND"
"424","down",5,4,1,"SND"
"425","left",2,4,1,"SND"
"426","down",2,1,1,"SND"
"427","left",1,5,1,"SND"
"428","left",2,2,1,"SND"
"429","down",3,2,1,"SND"
"430","down",1,1,1,"SND"
"431","down",3,1,1,"SND"
"432","left",3,4,1,"SND"
"433","down",1,3,1,"SND"
"434","left",6,2,1,"SND"
"435","left",4,2,1,"SND"
"436","left",2,5,1,"SND"
"437","left",5,2,1,"SND"
"438","left",4,5,1,"SND"
"439","left",4,3,1,"SND"
"440","down",6,4,1,"SND"
"441","down",5,1,1,"SND"
"442","down",6,5,1,"SND"
"443","left",1,4,1,"SND"
